"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 11 14:13:33 IST 2022","Sun Sep 11 14:13:42 IST 2022","9294","webkit","qaautomationlabs.spec.js","","","","Serach the Blog with text 'Playwright  ",""
"passed","Sun Sep 11 14:13:33 IST 2022","Sun Sep 11 14:13:43 IST 2022","10643","webkit","qaautomationlabs.spec.js","","","","Open the site 'qaautomationlabs.com 'and verify the title and Click on Menu Blogs",""
"passed","Sun Sep 11 14:13:33 IST 2022","Sun Sep 11 14:13:42 IST 2022","9087","chromium","qaautomationlabs.spec.js","","","","Serach the Blog with text 'Playwright  ",""
"passed","Sun Sep 11 14:13:33 IST 2022","Sun Sep 11 14:13:40 IST 2022","7062","chromium","qaautomationlabs.spec.js","","","","Open the site 'qaautomationlabs.com 'and verify the title and Click on Menu Blogs",""
"passed","Sun Sep 11 14:13:33 IST 2022","Sun Sep 11 14:13:45 IST 2022","12294","firefox","qaautomationlabs.spec.js","","","","Open the site 'qaautomationlabs.com 'and verify the title and Click on Menu Blogs",""
"passed","Sun Sep 11 14:13:33 IST 2022","Sun Sep 11 14:13:48 IST 2022","15472","firefox","qaautomationlabs.spec.js","","","","Serach the Blog with text 'Playwright  ",""
